CGRSNAME	Alytes_almogavarii	Alytes_cisternasii	Alytes_dickhilleni	Alytes_muletensis	Alytes_obstetricans	Bombina_bombina	Bombina_variegata	Bufotes_boulengeri	Bufo_bufo	Epidalea_calamita	Bufo_spinosus	Bufotes_viridis	Calotriton_arnoldi	Calotriton_asper	Chioglossa_lusitanica	Discoglossus_galganoi	Discoglossus_montalentii	Discoglossus_pictus	Discoglossus_sardus	Euproctus_montanus	Euproctus_platycephalus	Hyla_arborea	Hyla_intermedia	Hyla_meridionalis	Hyla_molleri	Hyla_orientalis	Hyla_sarda	Ichthyosaura_alpestris	Lissotriton_maltzani	Lissotriton_boscai	Lissotriton_graecus	Lissotriton_helveticus	Lissotriton_italicus	Lissotriton_montandoni	Lissotriton_vulgaris	Lyciasalamandra_helverseni	Pelobates_balcanicus	Pelophylax_bedriagae	Pelobates_vespertinus	Pelobates_cultripes	Pelobates_fuscus	Pelobates_syriacus	Pelodytes_atlanticus	Pelodytes_caucasicus	Pelodytes_ibericus	Pelodytes_punctatus	Pelophylax_cretensis	Pelophylax_epeiroticus	Pelophylax_esculentus	Pelophylax_grafi	Pelophylax_lessonae	Pelophylax_perezi	Pelophylax_ridibundus	Pelophylax_shqipericus	Pleurodeles_waltl	Proteus_anguinus	Rana_arvalis	Rana_dalmatina	Rana_graeca	Rana_iberica	Rana_italica	Rana_latastei	Rana_macrocnemis	Rana_parvipalmata	Rana_pyrenaica	Rana_temporaria	Salamandra_atra	Salamandra_corsica	Salamandrella_keyserlingii	Salamandra_lanzai	Salamandrina_perspicillata	Salamandra_salamandra	Salamandrina_terdigitata	Hydromantes_ambrosii	Hydromantes_flavus	Hydromantes_genei	Hydromantes_imperialis	Hydromantes_italicus	Hydromantes_sarrabusensis	Hydromantes_strinatii	Hydromantes_supramontis	Triturus_carnifex	Triturus_cristatus	Triturus_dobrogicus	Triturus_ivanbureschi	Triturus_karelinii	Triturus_macedonicus	Triturus_marmoratus	Triturus_pygmaeus
28UEV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UEV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28UFB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
